Usuario,Email,Genero,Edad,Ciudad,Estrato,Referencia_producto,Estado_civil,Acepta_envio_mail,Valor_Compra
1312,1312@hotmail.com,masculino,36,bogota,6,A,soltero/a,SI,54920
1313,1313@hotmail.com,femenino,20,bogota,6,D,casado/a,SI,47533
1314,1314@hotmail.com,femenino,64,cali,6,C,soltero/a,SI,54928
1315,1315@hotmail.com,masculino,38,barranquilla,6,B,soltero/a,SI,92213
1316,1316@hotmail.com,masculino,47,bucaramanga,6,B,soltero/a,SI,96715
1317,1317@hotmail.com,femenino,67,medellin,6,B,soltero/a,SI,58115
1318,1318@hotmail.com,masculino,33,medellin,6,C,soltero/a,SI,42042
1319,1319@hotmail.com,masculino,65,bogota,6,C,casado/a,SI,96228
1320,1320@hotmail.com,masculino,69,bogota,6,C,divorciado/a,SI,64062
1321,1321@hotmail.com,femenino,69,cali,6,C,soltero/a,NO,65864
1322,1322@hotmail.com,femenino,24,cali,6,D,soltero/a,SI,74232
1323,1323@hotmail.com,masculino,62,bucaramanga,6,C,soltero/a,SI,56468
1324,1324@hotmail.com,masculino,20,cali,6,A,soltero/a,SI,25255
1325,1325@hotmail.com,femenino,59,medellin,6,A,casado/a,SI,90108
1326,1326@hotmail.com,masculino,44,bucaramanga,6,D,soltero/a,SI,69773
1327,1327@hotmail.com,masculino,53,cali,6,C,soltero/a,SI,34560
1328,1328@hotmail.com,masculino,20,medellin,6,B,soltero/a,SI,35425
1329,1329@hotmail.com,femenino,51,bucaramanga,6,B,soltero/a,SI,79839
1330,1330@hotmail.com,femenino,55,cali,6,B,soltero/a,SI,53676
1331,1331@hotmail.com,masculino,35,medellin,6,C,casado/a,SI,39821
1332,1332@hotmail.com,masculino,31,bucaramanga,6,C,divorciado/a,SI,32191
1333,1333@hotmail.com,femenino,32,cali,5,C,soltero/a,SI,95277
1334,1334@hotmail.com,masculino,27,medellin,5,A,soltero/a,SI,92527
1335,1335@hotmail.com,femenino,44,cali,5,D,soltero/a,SI,30692
1336,1336@hotmail.com,masculino,29,bogota,4,C,soltero/a,SI,33385
1337,1337@hotmail.com,masculino,26,bogota,4,B,casado/a,SI,46098
1338,1338@hotmail.com,femenino,30,bogota,5,B,soltero/a,SI,73832
1339,1339@hotmail.com,masculino,70,bogota,4,B,soltero/a,SI,53775
1340,1340@hotmail.com,masculino,53,cali,6,C,soltero/a,SI,53828
1341,1341@hotmail.com,femenino,29,cali,5,C,soltero/a,SI,28811
1342,1342@hotmail.com,masculino,56,medellin,6,C,soltero/a,SI,50601
1343,1343@hotmail.com,masculino,70,medellin,5,C,casado/a,SI,48022
1344,1344@hotmail.com,femenino,54,medellin,4,D,divorciado/a,SI,44859
1345,1345@hotmail.com,masculino,30,cali,5,C,soltero/a,SI,35199
1346,1346@hotmail.com,masculino,55,bogota,5,D,soltero/a,SI,80140
1347,1347@hotmail.com,femenino,69,bogota,4,D,soltero/a,SI,49096
1348,1348@hotmail.com,masculino,32,bogota,6,D,soltero/a,SI,63352
1349,1349@hotmail.com,masculino,65,bogota,5,C,casado/a,SI,84164
1350,1350@hotmail.com,femenino,36,cali,5,B,soltero/a,SI,20383
1351,1351@hotmail.com,masculino,21,cali,6,B,soltero/a,SI,23525
1352,1352@hotmail.com,masculino,43,bogota,5,B,soltero/a,SI,69065
1353,1353@hotmail.com,femenino,69,bogota,6,C,soltero/a,SI,85149
1354,1354@hotmail.com,masculino,57,bogota,5,C,soltero/a,SI,24730
1355,1355@hotmail.com,femenino,28,bogota,6,C,casado/a,SI,76225
1356,1356@hotmail.com,masculino,69,cali,4,C,divorciado/a,SI,52244
1357,1357@hotmail.com,masculino,44,cali,6,D,soltero/a,SI,29518
1358,1358@hotmail.com,femenino,40,bogota,4,C,soltero/a,SI,61418
1359,1359@hotmail.com,masculino,29,bogota,6,A,soltero/a,SI,45466
1360,1360@hotmail.com,masculino,53,bogota,5,A,soltero/a,SI,62086
1361,1361@hotmail.com,femenino,44,bogota,6,D,casado/a,SI,72385
1362,1362@hotmail.com,masculino,27,cali,5,C,soltero/a,SI,62983
1363,1363@hotmail.com,masculino,29,barranquilla,6,B,soltero/a,SI,22691
1364,1364@hotmail.com,femenino,21,bucaramanga,4,B,soltero/a,SI,96819
1365,1365@hotmail.com,masculino,69,medellin,6,B,soltero/a,SI,36720
1366,1366@hotmail.com,masculino,50,medellin,4,C,soltero/a,SI,96126
1367,1367@hotmail.com,femenino,45,bogota,4,C,casado/a,SI,67877
1368,1368@hotmail.com,masculino,54,bogota,4,C,divorciado/a,SI,87355
1369,1369@hotmail.com,masculino,29,cali,6,C,soltero/a,SI,30310
1370,1370@hotmail.com,femenino,30,cali,5,D,soltero/a,SI,96790
1371,1371@hotmail.com,masculino,68,bogota,6,C,soltero/a,SI,89454
1372,1372@hotmail.com,masculino,32,bogota,5,A,soltero/a,SI,91415
1373,1373@hotmail.com,femenino,60,cucuta,6,A,casado/a,SI,58861
1374,1374@hotmail.com,masculino,57,bogota,4,D,soltero/a,SI,94418
1375,1375@hotmail.com,femenino,70,cali,6,C,soltero/a,SI,64443
1376,1376@hotmail.com,masculino,55,barranquilla,4,B,soltero/a,SI,42914
1377,1377@hotmail.com,masculino,24,bucaramanga,4,B,soltero/a,SI,93459
1378,1378@hotmail.com,femenino,46,medellin,6,B,soltero/a,SI,76502
1379,1379@hotmail.com,masculino,55,medellin,5,C,casado/a,SI,61062
1380,1380@hotmail.com,masculino,29,bogota,5,C,divorciado/a,SI,77572
1381,1381@hotmail.com,femenino,65,cartegena,6,C,soltero/a,SI,42057
1382,1382@hotmail.com,masculino,32,cartegena,6,C,soltero/a,SI,82236
1383,1383@hotmail.com,masculino,53,cartegena,4,D,soltero/a,SI,22172
1384,1384@hotmail.com,femenino,42,cartegena,5,C,soltero/a,SI,22794
1385,1385@hotmail.com,masculino,31,cartegena,6,A,casado/a,SI,44797
1386,1386@hotmail.com,masculino,20,cartegena,4,A,soltero/a,SI,68727
1387,1387@hotmail.com,femenino,28,bogota,4,D,soltero/a,SI,81629
1388,1388@hotmail.com,masculino,37,cali,5,C,soltero/a,SI,86381
1389,1389@hotmail.com,masculino,42,barranquilla,5,B,soltero/a,SI,77319
1390,1390@hotmail.com,femenino,32,bucaramanga,5,B,soltero/a,SI,70739
1391,1391@hotmail.com,masculino,59,medellin,6,B,casado/a,SI,73307
1392,1392@hotmail.com,masculino,64,medellin,5,C,divorciado/a,NO,79598
1393,1393@hotmail.com,femenino,58,bogota,5,A,soltero/a,SI,94764
1394,1394@hotmail.com,masculino,38,bogota,6,C,soltero/a,SI,62376
1395,1395@hotmail.com,femenino,38,cali,5,C,soltero/a,SI,91750
1396,1396@hotmail.com,masculino,61,cali,4,D,soltero/a,SI,67502
1397,1397@hotmail.com,masculino,54,bogota,6,C,casado/a,SI,54904
1398,1398@hotmail.com,femenino,39,bogota,4,A,soltero/a,SI,91306
1399,1399@hotmail.com,masculino,60,bogota,5,A,soltero/a,SI,60129
1400,1400@hotmail.com,masculino,68,bogota,6,D,soltero/a,SI,38773
1401,1401@hotmail.com,femenino,34,cali,5,C,soltero/a,SI,98224
1402,1402@hotmail.com,masculino,70,barranquilla,4,B,soltero/a,SI,77425
1403,1403@hotmail.com,masculino,68,bucaramanga,5,B,casado/a,SI,98615
1404,1404@hotmail.com,masculino,41,medellin,4,A,divorciado/a,SI,75410
1405,1405@hotmail.com,femenino,49,medellin,4,C,soltero/a,SI,72727
1406,1406@hotmail.com,femenino,25,bogota,5,C,soltero/a,SI,93635
1407,1407@hotmail.com,masculino,54,bogota,5,C,soltero/a,SI,72442
1408,1408@hotmail.com,masculino,58,cali,6,C,soltero/a,SI,22387
1409,1409@hotmail.com,femenino,44,cali,6,D,casado/a,SI,20366
1410,1410@hotmail.com,masculino,65,bogota,4,C,soltero/a,SI,82457
1411,1411@hotmail.com,masculino,33,bogota,6,A,soltero/a,SI,62643
1412,1412@hotmail.com,masculino,41,bogota,4,A,soltero/a,SI,22604
1413,1413@hotmail.com,femenino,21,bogota,6,D,soltero/a,SI,38278
1414,1414@hotmail.com,femenino,45,cali,6,C,soltero/a,SI,82047
1415,1415@hotmail.com,masculino,67,barranquilla,5,B,casado/a,SI,93195
1416,1416@hotmail.com,masculino,32,bucaramanga,4,B,divorciado/a,SI,20664
1417,1417@hotmail.com,femenino,58,medellin,5,B,soltero/a,SI,53025
1418,1418@hotmail.com,masculino,42,medellin,6,C,soltero/a,SI,51967
1419,1419@hotmail.com,masculino,53,bogota,6,C,soltero/a,SI,77201
1420,1420@hotmail.com,masculino,44,bogota,5,C,soltero/a,NO,51571
1421,1421@hotmail.com,femenino,63,cali,6,C,casado/a,SI,52065
1422,1422@hotmail.com,femenino,24,cali,6,D,soltero/a,SI,38793
1423,1423@hotmail.com,masculino,33,bucaramanga,4,C,soltero/a,SI,53378
1424,1424@hotmail.com,masculino,26,cali,4,A,soltero/a,SI,66202
1425,1425@hotmail.com,femenino,52,medellin,6,A,soltero/a,SI,23060
1426,1426@hotmail.com,masculino,42,bucaramanga,4,D,soltero/a,SI,46256
1427,1427@hotmail.com,masculino,22,cali,6,C,casado/a,SI,87162
1428,1428@hotmail.com,masculino,54,medellin,4,B,divorciado/a,SI,65261
1429,1429@hotmail.com,femenino,22,bucaramanga,5,B,soltero/a,SI,37517
1430,1430@hotmail.com,femenino,20,cali,4,B,soltero/a,SI,30033
1431,1431@hotmail.com,masculino,30,medellin,6,C,soltero/a,SI,28288
1432,1432@hotmail.com,masculino,43,bucaramanga,4,C,soltero/a,SI,24666
1433,1433@hotmail.com,femenino,37,cali,5,C,casado/a,SI,65283
1434,1434@hotmail.com,masculino,70,medellin,4,A,soltero/a,SI,74960
1435,1435@hotmail.com,femenino,40,cali,5,D,soltero/a,SI,81698
1436,1436@hotmail.com,masculino,45,bogota,6,C,soltero/a,SI,89145
1437,1437@hotmail.com,masculino,43,bogota,6,B,soltero/a,SI,76011
1438,1438@hotmail.com,femenino,63,bogota,5,B,soltero/a,SI,57159
1439,1439@hotmail.com,masculino,51,bogota,5,B,casado/a,SI,95252
1440,1440@hotmail.com,masculino,46,cali,6,C,divorciado/a,SI,76608
1441,1441@hotmail.com,femenino,61,cali,4,C,soltero/a,SI,47210
1442,1442@hotmail.com,masculino,59,medellin,6,C,soltero/a,SI,21740
1443,1443@hotmail.com,masculino,67,medellin,6,C,soltero/a,SI,73909
1444,1444@hotmail.com,femenino,67,medellin,4,D,soltero/a,SI,66925
1445,1445@hotmail.com,masculino,67,cali,4,C,casado/a,SI,84879
1446,1446@hotmail.com,masculino,21,bogota,4,D,soltero/a,SI,90041
1447,1447@hotmail.com,femenino,51,bogota,5,D,soltero/a,SI,44065
1448,1448@hotmail.com,masculino,40,bogota,4,D,soltero/a,SI,39174
1449,1449@hotmail.com,masculino,37,bogota,5,C,soltero/a,SI,44464
1450,1450@hotmail.com,femenino,64,cali,6,B,soltero/a,SI,75187
1451,1451@hotmail.com,masculino,50,cali,5,B,casado/a,SI,57916
1452,1452@hotmail.com,masculino,56,bogota,5,B,divorciado/a,SI,90078
1453,1453@hotmail.com,femenino,28,bogota,5,C,soltero/a,SI,55977
1454,1454@hotmail.com,masculino,38,bogota,5,C,soltero/a,SI,92677
1455,1455@hotmail.com,femenino,20,bogota,5,C,soltero/a,SI,20676
1456,1456@hotmail.com,masculino,54,cali,5,C,soltero/a,SI,88175
1457,1457@hotmail.com,masculino,47,cali,5,D,casado/a,SI,85525
1458,1458@hotmail.com,femenino,38,bogota,4,C,soltero/a,SI,83933
1459,1459@hotmail.com,masculino,67,bogota,5,A,soltero/a,SI,74856
1460,1460@hotmail.com,masculino,28,bogota,6,A,soltero/a,SI,61062
1461,1461@hotmail.com,femenino,37,bogota,5,D,soltero/a,SI,90566
1462,1462@hotmail.com,masculino,37,cali,4,C,soltero/a,SI,61267
1463,1463@hotmail.com,masculino,65,barranquilla,5,B,casado/a,SI,86222
1464,1464@hotmail.com,femenino,21,bucaramanga,4,B,divorciado/a,SI,20944
1465,1465@hotmail.com,masculino,69,medellin,6,B,soltero/a,SI,89986
1466,1466@hotmail.com,masculino,28,medellin,5,C,soltero/a,SI,28463
1467,1467@hotmail.com,femenino,28,bogota,4,C,soltero/a,SI,73063
1468,1468@hotmail.com,masculino,30,bogota,5,C,soltero/a,SI,94135
1469,1469@hotmail.com,masculino,65,cali,5,C,casado/a,SI,43792
1470,1470@hotmail.com,femenino,24,cali,6,D,soltero/a,SI,26699
1471,1471@hotmail.com,masculino,60,bogota,5,C,soltero/a,SI,94238
1472,1472@hotmail.com,masculino,28,bogota,6,A,soltero/a,SI,37989
1473,1473@hotmail.com,femenino,64,bogota,5,A,soltero/a,SI,51169
1474,1474@hotmail.com,masculino,49,bogota,4,D,soltero/a,SI,83867
1475,1475@hotmail.com,femenino,37,cali,5,C,casado/a,SI,32061
1476,1476@hotmail.com,masculino,29,barranquilla,6,B,divorciado/a,SI,49065
1477,1477@hotmail.com,masculino,68,bucaramanga,5,B,soltero/a,SI,75822
1478,1478@hotmail.com,femenino,40,medellin,5,B,soltero/a,SI,67165
1479,1479@hotmail.com,masculino,57,medellin,4,C,soltero/a,SI,53542
1480,1480@hotmail.com,masculino,45,bogota,5,C,soltero/a,SI,77780
1481,1481@hotmail.com,femenino,61,bogota,4,C,casado/a,SI,98624
1482,1482@hotmail.com,masculino,26,cali,5,C,soltero/a,SI,77047
1483,1483@hotmail.com,masculino,26,cali,5,D,soltero/a,SI,66149
1484,1484@hotmail.com,femenino,61,bogota,6,C,soltero/a,SI,59293
1485,1485@hotmail.com,masculino,58,bogota,4,A,soltero/a,SI,64142
1486,1486@hotmail.com,masculino,29,bogota,4,A,soltero/a,SI,51020
1487,1487@hotmail.com,femenino,36,bogota,6,D,casado/a,SI,74390
1488,1488@hotmail.com,masculino,34,cali,4,C,divorciado/a,SI,44960
1489,1489@hotmail.com,masculino,66,barranquilla,6,B,soltero/a,SI,63659
1490,1490@hotmail.com,femenino,22,bucaramanga,6,B,soltero/a,SI,79240
1491,1491@hotmail.com,masculino,42,medellin,6,B,soltero/a,NO,80635
1492,1492@hotmail.com,masculino,35,medellin,6,C,soltero/a,SI,61979
1493,1493@hotmail.com,femenino,66,bogota,6,A,casado/a,SI,24869
1494,1494@hotmail.com,masculino,59,bogota,5,C,soltero/a,SI,97740
1495,1495@hotmail.com,femenino,39,cali,5,C,soltero/a,SI,68670
1496,1496@hotmail.com,masculino,37,cali,4,D,soltero/a,SI,55761
1497,1497@hotmail.com,masculino,64,bogota,4,C,soltero/a,SI,85162
1498,1498@hotmail.com,femenino,51,bogota,6,A,soltero/a,SI,83969
1499,1499@hotmail.com,masculino,35,bogota,6,A,casado/a,SI,47733
1500,1500@hotmail.com,masculino,52,bogota,4,D,divorciado/a,SI,91690
1501,1501@hotmail.com,femenino,30,cali,5,C,soltero/a,SI,54095
1502,1502@hotmail.com,masculino,30,barranquilla,4,B,soltero/a,SI,93476
1503,1503@hotmail.com,masculino,38,bucaramanga,4,B,soltero/a,SI,71239
1504,1504@hotmail.com,masculino,20,medellin,6,A,soltero/a,SI,67935
1505,1505@hotmail.com,femenino,34,medellin,5,C,casado/a,SI,32320
1506,1506@hotmail.com,femenino,68,bogota,4,C,soltero/a,SI,53945
1507,1507@hotmail.com,masculino,54,bogota,4,C,soltero/a,SI,77893
1508,1508@hotmail.com,masculino,33,cali,5,C,soltero/a,SI,83242
1509,1509@hotmail.com,femenino,64,cali,6,D,soltero/a,SI,62001
1510,1510@hotmail.com,masculino,61,bogota,5,C,soltero/a,SI,72257
1511,1511@hotmail.com,masculino,37,bogota,4,A,casado/a,SI,46865
1512,1512@hotmail.com,masculino,62,bogota,6,A,divorciado/a,SI,48678
1513,1513@hotmail.com,femenino,66,bogota,4,D,soltero/a,SI,79146
1514,1514@hotmail.com,femenino,53,cali,6,C,soltero/a,SI,45908
1515,1515@hotmail.com,masculino,61,barranquilla,5,B,soltero/a,SI,61065
1516,1516@hotmail.com,masculino,66,bucaramanga,5,B,soltero/a,SI,28058
1517,1517@hotmail.com,femenino,62,medellin,4,B,casado/a,SI,91044
1518,1518@hotmail.com,masculino,60,medellin,4,C,soltero/a,SI,31290
1519,1519@hotmail.com,masculino,62,bogota,4,C,soltero/a,NO,37638
1520,1520@hotmail.com,masculino,40,bogota,6,C,soltero/a,SI,87946
1521,1521@hotmail.com,femenino,39,cali,4,C,soltero/a,SI,97355
1522,1522@hotmail.com,femenino,66,cali,6,D,soltero/a,SI,23312
1523,1523@hotmail.com,masculino,53,bucaramanga,5,C,casado/a,SI,82428
1524,1524@hotmail.com,masculino,54,cali,6,A,divorciado/a,SI,41079
1525,1525@hotmail.com,femenino,25,medellin,6,A,soltero/a,SI,29489
1526,1526@hotmail.com,masculino,30,bucaramanga,4,D,soltero/a,SI,53077
1527,1527@hotmail.com,masculino,49,cali,4,C,soltero/a,SI,24296
1528,1528@hotmail.com,masculino,66,medellin,6,B,soltero/a,SI,91364
1529,1529@hotmail.com,femenino,59,bucaramanga,5,B,casado/a,SI,59342
1530,1530@hotmail.com,femenino,27,cali,4,B,soltero/a,SI,46822
1531,1531@hotmail.com,masculino,21,medellin,4,C,soltero/a,SI,41314
1532,1532@hotmail.com,masculino,59,bucaramanga,6,C,soltero/a,SI,54541
1533,1533@hotmail.com,femenino,45,cali,5,C,soltero/a,SI,47486
1534,1534@hotmail.com,masculino,22,medellin,5,A,soltero/a,SI,82156
1535,1535@hotmail.com,femenino,22,cali,5,D,casado/a,SI,86905
1536,1536@hotmail.com,masculino,34,bogota,4,C,divorciado/a,SI,27635
1537,1537@hotmail.com,masculino,42,bogota,4,B,soltero/a,SI,69488
1538,1538@hotmail.com,femenino,37,bogota,6,B,soltero/a,SI,23539
1539,1539@hotmail.com,masculino,57,bogota,6,B,soltero/a,SI,43304
1540,1540@hotmail.com,masculino,65,cali,4,C,soltero/a,SI,62013
1541,1541@hotmail.com,femenino,39,cali,4,C,casado/a,SI,83817
1542,1542@hotmail.com,masculino,34,medellin,5,C,soltero/a,SI,99096
1543,1543@hotmail.com,masculino,49,medellin,6,C,soltero/a,SI,45490
1544,1544@hotmail.com,femenino,52,medellin,5,D,soltero/a,SI,77001
1545,1545@hotmail.com,masculino,21,cali,6,C,soltero/a,SI,21336
1546,1546@hotmail.com,masculino,30,bogota,4,D,soltero/a,SI,65802
1547,1547@hotmail.com,femenino,61,bogota,4,D,casado/a,SI,56600
1548,1548@hotmail.com,masculino,66,bogota,4,D,divorciado/a,SI,22166
1549,1549@hotmail.com,masculino,57,bogota,5,C,soltero/a,SI,93549
1550,1550@hotmail.com,femenino,35,cali,5,B,soltero/a,SI,41161
1551,1551@hotmail.com,masculino,37,cali,5,B,soltero/a,SI,72473
1552,1552@hotmail.com,masculino,55,bogota,5,B,soltero/a,SI,21450
1553,1553@hotmail.com,femenino,25,bogota,6,C,casado/a,SI,26548
1554,1554@hotmail.com,masculino,26,bogota,5,C,soltero/a,SI,25161
1555,1555@hotmail.com,femenino,25,bogota,5,C,soltero/a,SI,44563
1556,1556@hotmail.com,masculino,41,cali,4,C,soltero/a,SI,69838
1557,1557@hotmail.com,masculino,44,cali,5,D,soltero/a,SI,31704
1558,1558@hotmail.com,femenino,69,bogota,6,C,soltero/a,SI,99652
1559,1559@hotmail.com,masculino,25,bogota,5,A,casado/a,SI,75638
1560,1560@hotmail.com,masculino,21,bogota,4,A,divorciado/a,SI,98049
1561,1561@hotmail.com,femenino,57,bogota,6,D,soltero/a,SI,76569
1562,1562@hotmail.com,masculino,20,cali,4,C,soltero/a,SI,70499
1563,1563@hotmail.com,masculino,68,barranquilla,4,B,soltero/a,SI,37717
1564,1564@hotmail.com,femenino,28,bucaramanga,5,B,soltero/a,SI,66741
1565,1565@hotmail.com,masculino,57,medellin,4,B,casado/a,SI,34795
1566,1566@hotmail.com,masculino,62,medellin,4,C,soltero/a,SI,71031
1567,1567@hotmail.com,femenino,55,bogota,6,C,soltero/a,SI,70842
1568,1568@hotmail.com,masculino,58,bogota,5,C,soltero/a,SI,32440
1569,1569@hotmail.com,masculino,68,cali,5,C,soltero/a,SI,58162
1570,1570@hotmail.com,femenino,40,cali,4,D,soltero/a,SI,61321
1571,1571@hotmail.com,masculino,34,bogota,5,C,casado/a,SI,92873
1572,1572@hotmail.com,masculino,38,bogota,4,A,divorciado/a,SI,51824
1573,1573@hotmail.com,femenino,25,bogota,6,A,soltero/a,SI,89170
1574,1574@hotmail.com,masculino,28,bogota,5,D,soltero/a,SI,82362
1575,1575@hotmail.com,femenino,53,cali,6,C,soltero/a,SI,59845
1576,1576@hotmail.com,masculino,52,barranquilla,4,B,soltero/a,SI,48780
1577,1577@hotmail.com,masculino,62,bucaramanga,6,B,casado/a,SI,40680
1578,1578@hotmail.com,femenino,59,medellin,5,B,soltero/a,SI,63198
1579,1579@hotmail.com,masculino,33,medellin,5,C,soltero/a,SI,37009
1580,1580@hotmail.com,masculino,32,bogota,6,C,soltero/a,SI,91991
1581,1581@hotmail.com,femenino,25,bogota,4,C,soltero/a,SI,71350
1582,1582@hotmail.com,masculino,52,cali,4,C,soltero/a,SI,76423
1583,1583@hotmail.com,masculino,47,cali,4,D,casado/a,SI,94999
1584,1584@hotmail.com,femenino,56,bogota,5,C,divorciado/a,SI,83267
1585,1585@hotmail.com,masculino,63,bogota,5,A,soltero/a,SI,50601
1586,1586@hotmail.com,masculino,65,bogota,5,A,soltero/a,SI,64340
1587,1587@hotmail.com,femenino,49,bogota,4,D,soltero/a,SI,68242
1588,1588@hotmail.com,masculino,60,cali,5,C,soltero/a,SI,29093
